0,12,possibility of a focal dissection
1,15,multiple gas distended
2,34,limited study
3,50,gastrostomy tube courses in close proximity to  and questionably
4,54,gastrostomy tube is visualized overlying the
5,55,gastrostomy tube is visualized overlying the
6,68,flexion
7,71,mottled appearance  which could be secondary to
8,74,questionable bony erosion of
9,78,atrophy
10,79,1 x 2 mm  laterally oriented outpouching
11,80,1 x 2 mm  laterally oriented outpouching
12,95,very mild increased markings
13,98,generalized loss of volume
14,99,solitary nodule
15,100,solitary nodule
16,103,solitary predominantly solid
17,108,atrophy greater than expected for
18,109,cholelithiasis
19,111,opacification
20,121,elevated peak systolic velocities
21,168,resistive indices are elevated
22,169,resistive indices are elevated
23,171,suggestive evidence of new  large hematoma
24,183,poor visualization of
25,218,diffuse soft tissue swelling
26,227,2 areas of focal
27,236,serpiginous fluid collection
28,247,vague focal density
29,258,enlarged
30,260,9 mm nodule
31,268,possibility
32,271,focal asymmetric soft tissue
33,273,fecal material noted throughout
34,276,collection
35,292,hepatomegaly
36,293,hepatomegaly
37,297,photopenic region
38,313,interval increase in
39,322,atrophy
40,324,atrophy
41,328,moderate sized dense
42,331,significant thickening
43,334,minimally displaced impacted fracture
44,340,moderate centrilobular emphysema
45,347,multi septated and lobulated
46,363,pulmonary edema
47,364,resistive indices upper normal limits
48,383,nodules largest measuring 3 mm iwithout significant
49,384,nodules largest measuring 3 mm iwithout significant
50,393,moderate soft tissue edema and enhancement
51,399,new
52,400,new
53,403,echogenic
54,404,markedly enlarged
55,408,punctate focus of enhancement
56,447,wall
57,454,thickening
